original,predicted,correct
DKDv,pKv,False
HcnEE,hcnEE,False
CkZVWN,CkZVwN,False
Xwdy,Xwdy,True
Ywzrmq,Ywzrmq,True
KKFNzZ,KKFNzZ,True
Fkyo,Fkyo,True
Gknqjh,Gknqjh,True
Tdcitn,Tdcitn,True
BxTe,bxTe,False
Wbxfmcx,Wbxfmcx,True
Xzculn,Xzculn,True
jXOAY,jXOAY,True
HDXGRt,RDXGRt,False
BAeFeA,EAeFeA,False
Qemhr,Qemhr,True
Ynihfu,Ynihfu,True
Umls,Umls,True
xdImZ,xdlmZ,False
Riaum,Riaum,True
Zmhqdn,Zmhqdn,True
Plwhxf,Plwhxf,True
Jbjk,Jbjk,True
Qvobv,Qvobv,True
Wptwcd,Wptwcd,True
Bwtybze,Bwtybze,True
YZXENuX,YZXENuX,True
yMRT,yMRT,True
Ovda,Ovda,True
dDYNS,uDYNS,False
Zysqb,Zysqb,True
WJSf,WJSf,True
gyvFKjN,CyxFKjX,False
ENed,ENed,True
atvnUF,uIvmUF,False
XmCFsr,XmGFar,False
Yfbyv,Yfbyv,True
Rvrefq,Rvrefq,True
ZeYh,ZeYh,True
Dqbybyx,Dqbybyx,True
Zmhkp,Zmhkp,True
Wkdnnd,Wkdnnd,True
Hjixomx,Hjixomx,True
Wpllis,Wplis,False
Gfhkxn,Gfhkxn,True
UJgitg,uJoitg,False
qYlGu,qYIGu,False
Wpenbem,Wpenbem,True
Buuywh,Buuywh,True
usHgwBA,vsHgwBA,False
Casu,Casu,True
CNswa,CNswa,True
Chbdpu,Chbdpu,True
Nmxic,Nmxic,True
Wkmlsu,Wkmlsu,True
mgGlkc,ngGikc,False
AzHil,AzHil,True
Vpoh,Vpoh,True
Vkufns,Vkufns,True
Oueb,Oueb,True
UfuqD,ufuqD,False
Nosjply,Nosjpy,False
