original,predicted,correct
lYOiYZ,lYOiYZ,True
kLPz,kLPz,True
UoRdGb,UoRdGb,True
owij,owij,True
MTkES,MTkES,True
pjxq,pjxq,True
eQkM,eQkM,True
basWl,baeWl,False
RkjqEs,RkqEs,False
ylba,ylba,True
GuEsujc,euEnuic,False
tesG,tesG,True
NwWYw,NwWYw,True
bUoRXk,bUoRXk,True
bqzxVSX,bqzxVSX,True
rBGI,rBGI,True
uGUikjD,uGUikjD,True
ANNW,ANNW,True
KIFnSWd,KIFnSWd,True
hhRIEQ,hhRIEQ,True
oDTN,oDTN,True
GYBv,GYBv,True
aaKX,aaKX,True
jObw,jObw,True
xopwi,xopwi,True
Slziuf,Slziuf,True
IAXxAD,IAXxAD,True
FuNQTSz,FuNQTSz,True
KostN,KostN,True
tpDCn,tpDCn,True
ERFeIaS,ERFelaS,False
ARFGk,ARFGk,True
enZtHR,enZtHR,True
ZOmTgKH,ZOmTgKH,True
